timestamp,theta_pot,theta_enc,w_user,w_meas,u_pwm,force_filt,tau_ext,w_adm
1763636052.2370439,0.65,0.25234,0.0,0.0,150.0,-0.0023,0.0002,0.0
1763636052.4085305,0.65,0.25234,0.0,0.0,150.0,0.0043,-0.00039,0.0
1763636052.4085305,0.65,0.25234,0.0,0.0,150.0,0.0075,-0.00068,0.0
1763636052.631409,0.65,0.25234,0.0,0.0,150.0,0.004,-0.00036,0.0
1763636052.6324787,0.65,0.25234,0.0,0.0,150.0,0.0077,-0.00069,0.0
1763636052.8505535,0.65,0.25234,0.0,0.0,150.0,-0.0021,0.00018,0.0
1763636052.8515835,0.65,0.25234,0.0,0.0,150.0,0.0073,-0.00065,0.0
1763636053.0653498,0.65,0.25234,0.0,0.0,150.0,-0.0038,0.00034,0.0
1763636053.0653498,0.65,0.25234,0.0,0.0,150.0,0.0071,-0.00063,0.0
1763636053.2676852,0.91,0.25234,0.0,0.0,150.0,0.0071,-0.00064,0.0
1763636053.2676852,0.65,0.25234,0.0,0.0,150.0,0.0051,-0.00046,0.0
1763636053.4434714,0.65,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636053.4434714,0.65,0.25234,0.0,0.0,150.0,0.008,-0.00072,0.0
1763636053.6317527,0.65,0.25234,0.0,0.0,150.0,-0.0019,0.00017,0.0
1763636053.6317527,0.65,0.25234,0.0,0.0,150.0,-0.0027,0.00025,0.0
1763636053.8494837,0.91,0.25234,0.0,0.0,150.0,0.006,-0.00054,0.0
1763636053.8494837,0.65,0.25234,0.0,0.0,150.0,0.0077,-0.00069,0.0
1763636054.075236,0.65,0.25234,0.0,0.0,150.0,0.0034,-0.0003,0.0
1763636054.075725,0.65,0.25234,0.0,0.0,150.0,0.0037,-0.00033,0.0
1763636054.2427466,0.65,0.25234,0.0,0.0,150.0,0.0046,-0.00042,0.0
1763636054.2437463,0.65,0.25234,0.0,0.0,150.0,0.005,-0.00045,0.0
1763636054.4763412,0.91,0.25234,0.0,0.0,150.0,-0.0027,0.00024,0.0
1763636054.4763412,0.91,0.25234,0.0,0.0,150.0,0.0069,-0.00063,0.0
1763636054.6977768,0.91,0.25234,0.0,0.0,150.0,0.0039,-0.00035,0.0
1763636054.6977768,0.65,0.25234,0.0,0.0,150.0,0.0075,-0.00067,0.0
1763636054.8983073,0.91,0.25234,0.0,0.0,150.0,0.007,-0.00063,0.0
1763636054.8983073,0.65,0.25234,0.0,0.0,150.0,0.0059,-0.00053,0.0
1763636055.0749621,0.65,0.25234,0.0,0.0,150.0,0.0071,-0.00064,0.0
1763636055.0759878,0.91,0.25234,0.0,0.0,150.0,0.0069,-0.00062,0.0
1763636055.29938,0.65,0.25234,0.0,0.0,150.0,0.0053,-0.00047,0.0
1763636055.3006263,0.65,0.25234,0.0,0.0,150.0,0.0041,-0.00037,0.0
1763636055.4774911,0.65,0.25234,0.0,0.0,150.0,0.0067,-0.00061,0.0
1763636055.4774911,0.65,0.25234,0.0,0.0,150.0,-0.0017,0.00015,0.0
1763636055.7088134,0.91,0.25234,0.0,0.0,150.0,-0.0009,8e-05,0.0
1763636055.7097983,0.65,0.25234,0.0,0.0,150.0,0.0043,-0.00039,0.0
1763636055.9307761,0.65,0.25234,0.0,0.0,150.0,0.0062,-0.00056,0.0
1763636055.9318242,0.65,0.25234,0.0,0.0,150.0,-0.0036,0.00032,0.0
1763636056.151265,0.65,0.25234,0.0,0.0,150.0,0.0039,-0.00035,0.0
1763636056.1523705,0.65,0.25234,0.0,0.0,150.0,0.0048,-0.00043,0.0
